卦序,代表数字,上爻,下爻,卦名,阴阳,吉凶,卦爻,,
1,0,乾为天,乾为天,乾为天,阳,,,,
2,1,乾为天,兑为泽,天泽履,,,,,
3,2,乾为天,离为火,天火同人,,,,,
4,3,乾为天,震为雷,天雷无妄,,,,,
5,4,乾为天,巽为风,天风姤,阳,,,,
6,5,乾为天,坎为水,天水讼,,,,,
7,6,乾为天,艮为山,天山遁,,,,,
8,7,乾为天,坤为地,天地否,阳,,,,
9,8,兑为泽,乾为天,泽天夬,,,,,
10,9,兑为泽,兑为泽,兑为泽,,,,,
11,10,兑为泽,离为火,泽火革,,,,,
12,11,兑为泽,震为雷,泽雷随,,,,,
13,12,兑为泽,巽为风,泽风大过,,,,,
14,13,兑为泽,坎为水,泽水困,,,,,
15,14,兑为泽,艮为山,泽山咸,,,,,
16,15,兑为泽,坤为地,泽地萃,,,,,
17,16,离为火,乾为天,火天大有,,,,,
18,17,离为火,兑为泽,火泽睽,,,,,
19,18,离为火,离为火,离为火,,,,,
20,19,离为火,震为雷,火雷噬嗑,,,,,
21,20,离为火,巽为风,火风鼎,,,,,
22,21,离为火,坎为水,火水未济,,,,,
23,22,离为火,艮为山,火山旅,,,,,
24,23,离为火,坤为地,火地晋,,,,,
25,24,震为雷,乾为天,雷天大壮,,,,,
26,25,震为雷,兑为泽,雷泽归妹,,,,,
27,26,震为雷,离为火,雷火丰,,,,,
28,27,震为雷,震为雷,震为雷,,,,,
29,28,震为雷,巽为风,雷风恒,,,,,
30,29,震为雷,坎为水,雷水解,,,,,
31,30,震为雷,艮为山,雷山小过,,,,,
32,31,震为雷,坤为地,雷地豫,,,,,
33,32,巽为风,乾为天,风天小畜,阳,,,,
34,33,巽为风,兑为泽,风泽中孚,,,,,
35,34,巽为风,离为火,风火家人,阳,,,,
36,35,巽为风,震为雷,风雷益,,,,,
37,36,巽为风,巽为风,巽为风,阳,,,,
38,37,巽为风,坎为水,风水涣,,,,,
39,38,巽为风,艮为山,风山渐,,,,,
40,39,巽为风,坤为地,风地观,,,,,
41,40,坎为水,乾为天,水天需,,,,,
42,41,坎为水,兑为泽,水泽节,,,,,
43,42,坎为水,离为火,水火既济,,,,,
44,43,坎为水,震为雷,水雷屯,,,,,
45,44,坎为水,巽为风,水风井,,,,,
46,45,坎为水,坎为水,坎为水,,,,,
47,46,坎为水,艮为山,水山蹇,,,,,
48,47,坎为水,坤为地,水地比,,,,,
49,48,艮为山,乾为天,山天大畜,,,,,
50,49,艮为山,兑为泽,山泽损,,,,,
51,50,艮为山,离为火,山火贲,,,,,
52,51,艮为山,震为雷,山雷颐,,,,,
53,52,艮为山,巽为风,山风蛊,,,,,
54,53,艮为山,坎为水,山水蒙,,,,,
55,54,艮为山,艮为山,艮为山,,,,,
56,55,艮为山,坤为地,山地剥,,,,,
57,56,坤为地,乾为天,地天泰,,,,,
58,57,坤为地,兑为泽,地泽临,,,,,
59,58,坤为地,离为火,地火明夷,,,,,
60,59,坤为地,震为雷,地雷复,,,,,
61,60,坤为地,巽为风,地风升,,,,,
62,61,坤为地,坎为水,地水师,,,,,
63,62,坤为地,艮为山,地山谦,,,,,
64,63,坤为地,坤为地,坤为地,,,,,